OrderID,ClientOrderID,Instrument,Side,ExecStatus,Quantity,Price,Reason,Timestamp
ord1,aa13,Rose,1,100,New,55.000000,,20231216-091038.199966
ord2,aa17,Tulip,1,100,New,55.000000,,20231216-091038.200069
ord3,aa14,Rose,1,100,New,65.000000,,20231216-091038.200088
ord2,aa17,Orchid,1,100,New,55.000000,,20231216-091038.200103
ord4,aa18,Tulip,1,100,New,65.000000,,20231216-091038.200124
ord5,aa19,Tulip,2,100,Pfill,65.000000,,20231216-091038.200186
ord4,aa18,Tulip,1,100,Fill,65.000000,,20231216-091038.200192
ord5,aa19,Tulip,2,100,Pfill,55.000000,,20231216-091038.200197
ord2,aa17,Tulip,1,100,Fill,55.000000,,20231216-091038.200201
ord4,aa18,Orchid,1,100,New,55.000000,,20231216-091038.200253
ord6,aa20,Lavender,2,100,New,55.000000,,20231216-091038.200283
ord5,aa19,Orchid,2,100,Pfill,55.000000,,20231216-091038.200348
ord2,aa17,Orchid,1,100,Fill,55.000000,,20231216-091038.200354
ord5,aa19,Orchid,2,100,Pfill,55.000000,,20231216-091038.200357
ord4,aa18,Orchid,1,100,Fill,55.000000,,20231216-091038.200361
ord7,aa21,Lavender,2,100,New,45.000000,,20231216-091038.200413
ord8,aa22,Lavender,1,100,Pfill,45.000000,,20231216-091038.200478
ord7,aa21,Lavender,2,100,Fill,45.000000,,20231216-091038.200484
ord9,aa23,Lotus,2,100,New,55.000000,,20231216-091038.200545
ord10,aa24,Lotus,2,100,New,45.000000,,20231216-091038.200614
ord11,aa15,Rose,2,100,Pfill,65.000000,,20231216-091038.200680
ord3,aa14,Rose,1,100,Fill,65.000000,,20231216-091038.200686
ord11,aa15,Rose,2,100,Pfill,55.000000,,20231216-091038.200689
ord1,aa13,Rose,1,100,Fill,55.000000,,20231216-091038.200693
ord12,aa25,Lotus,1,100,Fill,45.000000,,20231216-091038.200749
ord10,aa24,Lotus,2,100,Fill,45.000000,,20231216-091038.200754
ord13,aa16,Rose,1,100,Fill,1.000000,,20231216-091038.200815
ord11,aa15,Rose,2,100,Fill,1.000000,,20231216-091038.200820
ord14,aa26,Rose,2,100,New,55.000000,,20231216-091038.200889
ord15,aa27,Rose,2,100,New,45.000000,,20231216-091038.200949
ord16,aa28,Rose,1,100,New,35.000000,,20231216-091038.201013
ord17,aa29,,1,100,Rejected,55,Invalid instrument,20231216-091038.201076
ord18,aa30,Rose,3,100,Rejected,65.00,Invalid side,20231216-091038.201140
ord19,aa31,Lavender,2,101,Rejected,1.00,Invalid size,20231216-091038.201205
